request_id,timestamp,latency,tokens_used,confidence,error_status,anomaly,reliability_score,root_cause
1,10:00,1.2,450,0.91,0,Normal,95.5,System operating normally
2,10:01,1.1,430,0.92,0,Normal,96.0,System operating normally
3,10:02,4.5,1200,0.45,1,Anomaly,42.5,High latency due to retrieval delay | Low confidence due to insufficient evidence | Excessive token consumption | System/API failure detected
4,10:03,1.3,410,0.9,0,Normal,95.0,System operating normally
5,10:04,1.0,390,0.95,0,Normal,97.5,System operating normally
6,10:05,5.2,1500,0.4,1,Normal,40.0,High latency due to retrieval delay | Low confidence due to insufficient evidence | Excessive token consumption | System/API failure detected
7,10:06,1.4,470,0.89,0,Normal,94.5,System operating normally
8,10:07,6.1,1800,0.35,1,Anomaly,37.5,High latency due to retrieval delay | Low confidence due to insufficient evidence | Excessive token consumption | System/API failure detected
9,10:08,1.1,420,0.94,0,Normal,97.0,System operating normally
10,10:09,1.3,440,0.9,0,Normal,95.0,System operating normally
